date,festival,product,category,price,units_sold,revenue
30-12-2020,New Year,Confetti,Festival,784.9230769,3874,3066777
30-12-2020,New Year,Gift Box,Festival,1234.6,1310,1632027
30-12-2020,New Year,LED Lights,Festival,831,2951,2462310
30-12-2020,New Year,Lights,Festival,551.8333333,382,182330
30-12-2020,New Year,Music Player,Festival,468.8,321,163187
30-12-2020,New Year,Noise Maker,Festival,909.7333333,3976,3592476
30-12-2020,New Year,Notebook,Festival,461.8333333,282,115527
30-12-2020,New Year,Party Decor,Festival,927.5833333,3938,3691240
30-12-2020,New Year,Party Hat,Festival,493.4285714,549,239084
30-12-2020,New Year,Photo Frame,Festival,446.6666667,376,197009
30-12-2020,New Year,Smart Watch,Festival,871,1904,1735047
30-12-2020,New Year,Snacks,Festival,732.8333333,495,345562
30-12-2020,New Year,Soft Toy,Festival,693.25,135,103201
30-12-2020,New Year,Sunglasses,Festival,863.4615385,3100,2523741
30-12-2020,New Year,Wine,Festival,950.6666667,2773,2808055
31-12-2020,New Year,Bottle Opener,Festival,771.6666667,166,156143
31-12-2020,New Year,Bracelet,Festival,575,381,204014
31-12-2020,New Year,Cake,Festival,999.5555556,2690,2562487
31-12-2020,New Year,Candles,Festival,656.5,619,410552
31-12-2020,New Year,Chocolates,Festival,719.4,3253,2470356
31-12-2020,New Year,Confetti,Festival,772.0714286,4622,3567483
31-12-2020,New Year,Gift Box,Festival,906.75,2611,2426073
31-12-2020,New Year,LED Lights,Festival,883.6666667,4827,4134965
31-12-2020,New Year,Lights,Festival,769.1666667,369,297251
31-12-2020,New Year,Music Player,Festival,374.3333333,228,74628
31-12-2020,New Year,Noise Maker,Festival,869.2,2971,2458976
31-12-2020,New Year,Notebook,Festival,819.75,242,200045
31-12-2020,New Year,Party Decor,Festival,833.2857143,1858,1679827
31-12-2020,New Year,Party Hat,Festival,801.25,177,158416
31-12-2020,New Year,Photo Frame,Festival,551.375,710,434701
31-12-2020,New Year,Smart Watch,Festival,852.5333333,4108,3293040
31-12-2020,New Year,Snacks,Festival,1013.666667,172,186476
31-12-2020,New Year,Soft Toy,Festival,799.5714286,515,380935
31-12-2020,New Year,Sunglasses,Festival,777.6,4355,3338820
31-12-2020,New Year,Wine,Festival,675.6,1482,869432
01-01-2021,New Year,Bottle Opener,Festival,746.375,566,404042
01-01-2021,New Year,Bracelet,Festival,694.8,257,234818
01-01-2021,New Year,Cake,Festival,973.8,3584,3343539
01-01-2021,New Year,Candles,Festival,555.8571429,410,232295
01-01-2021,New Year,Chocolates,Festival,763.3636364,3054,2332162
01-01-2021,New Year,Confetti,Festival,789.6666667,4111,3123029
01-01-2021,New Year,Gift Box,Festival,685,2715,1680930
01-01-2021,New Year,LED Lights,Festival,1091.111111,2949,3116952
01-01-2021,New Year,Lights,Festival,876.3333333,470,411959
01-01-2021,New Year,Music Player,Festival,329.2857143,553,173198
01-01-2021,New Year,Noise Maker,Festival,622.6,1546,1052606
01-01-2021,New Year,Notebook,Festival,568,550,316193
01-01-2021,New Year,Party Decor,Festival,767.6153846,4281,3380086
01-01-2021,New Year,Party Hat,Festival,498.8571429,547,281598
01-01-2021,New Year,Photo Frame,Festival,665.3333333,377,222630
01-01-2021,New Year,Smart Watch,Festival,866.2,1469,1157120
01-01-2021,New Year,Snacks,Festival,644.6,372,228469
01-01-2021,New Year,Soft Toy,Festival,768,238,171698
01-01-2021,New Year,Sunglasses,Festival,736.4166667,3978,2865577
01-01-2021,New Year,Wine,Festival,976.8333333,3911,3716953
02-01-2021,New Year,Bottle Opener,Festival,768.3333333,482,342293
02-01-2021,New Year,Bracelet,Festival,739.6,345,255435
02-01-2021,New Year,Cake,Festival,901,1572,1287301
02-01-2021,New Year,Candles,Festival,681.5,201,130177
02-01-2021,New Year,Chocolates,Festival,912,2737,2639581
02-01-2021,New Year,Confetti,Festival,916.4444444,2363,2313596
02-01-2021,New Year,Gift Box,Festival,650.5,2630,1834270
02-01-2021,New Year,LED Lights,Festival,844.3076923,3600,3373134
02-01-2021,New Year,Lights,Festival,712.5,308,209494
02-01-2021,New Year,Music Player,Festival,468.3333333,210,110564
02-01-2021,New Year,Noise Maker,Festival,873.625,2595,2289071
02-01-2021,New Year,Notebook,Festival,783,526,416881
02-01-2021,New Year,Party Decor,Festival,1071,1842,1972884
02-01-2021,New Year,Party Hat,Festival,777,222,148968
02-01-2021,New Year,Photo Frame,Festival,973.8,434,439774
02-01-2021,New Year,Smart Watch,Festival,767.0666667,4689,3347655
02-01-2021,New Year,Snacks,Festival,690,518,351385
02-01-2021,New Year,Soft Toy,Festival,914.8333333,217,198614
02-01-2021,New Year,Sunglasses,Festival,817.6,1906,1596859
02-01-2021,New Year,Wine,Festival,836.1818182,2754,2181588
07-01-2021,Makar Sankranti,Backpack,Festival,609.4285714,378,223169
07-01-2021,Makar Sankranti,Bracelet,Festival,620.1428571,567,383392
07-01-2021,Makar Sankranti,Candy Pack,Festival,734.8666667,2503,1827211
07-01-2021,Makar Sankranti,Cap,Festival,949.5,443,423662
07-01-2021,Makar Sankranti,Cotton Clothes,Festival,925.25,1326,1116481
07-01-2021,Makar Sankranti,Decorative Flags,Festival,752.8,263,180790
07-01-2021,Makar Sankranti,Gloves,Festival,828,448,378781
07-01-2021,Makar Sankranti,Hat,Festival,594.7777778,1637,924633
07-01-2021,Makar Sankranti,Kite,Festival,776.7272727,2026,1735001
07-01-2021,Makar Sankranti,Manja,Festival,805.9333333,3059,2505768
07-01-2021,Makar Sankranti,Phone Holder,Festival,618.8333333,478,282228
07-01-2021,Makar Sankranti,Portable Fan,Festival,693.125,1614,1005000
07-01-2021,Makar Sankranti,Smartwatch,Festival,974.5454545,2154,2042846
07-01-2021,Makar Sankranti,Snacks,Festival,552.75,291,153922
07-01-2021,Makar Sankranti,Sunglasses,Festival,604.6363636,1773,1055530
07-01-2021,Makar Sankranti,Tilgul,Festival,715.25,517,378762
07-01-2021,Makar Sankranti,Toys,Festival,942,107,102994
07-01-2021,Makar Sankranti,Traditional Sweets,Festival,803.125,1749,1387259
07-01-2021,Makar Sankranti,Umbrella,Festival,1113.666667,263,288927
07-01-2021,Makar Sankranti,Water Bottle,Festival,743.375,1198,875064
08-01-2021,Makar Sankranti,Backpack,Festival,997.6666667,268,277220
08-01-2021,Makar Sankranti,Bracelet,Festival,926.8,303,290303
08-01-2021,Makar Sankranti,Candy Pack,Festival,730.8571429,3313,2506998
08-01-2021,Makar Sankranti,Cap,Festival,691.2857143,505,345357
08-01-2021,Makar Sankranti,Cotton Clothes,Festival,752.5,1823,1438213
08-01-2021,Makar Sankranti,Decorative Flags,Festival,642.875,653,433791
08-01-2021,Makar Sankranti,Gloves,Festival,753.25,346,260555
08-01-2021,Makar Sankranti,Hat,Festival,616.6153846,2588,1542589
08-01-2021,Makar Sankranti,Kite,Festival,421.4,1274,577342
08-01-2021,Makar Sankranti,Manja,Festival,690.8461538,3196,2174479
08-01-2021,Makar Sankranti,Phone Holder,Festival,572.3333333,212,105462
08-01-2021,Makar Sankranti,Portable Fan,Festival,1113.75,2009,2320923
08-01-2021,Makar Sankranti,Smartwatch,Festival,863.375,1892,1604420
08-01-2021,Makar Sankranti,Snacks,Festival,502,349,199762
08-01-2021,Makar Sankranti,Sunglasses,Festival,632.3333333,1312,823283
08-01-2021,Makar Sankranti,Tilgul,Festival,751.5,542,408117
08-01-2021,Makar Sankranti,Toys,Festival,357.6666667,455,182726
08-01-2021,Makar Sankranti,Traditional Sweets,Festival,914.4,1125,1073709
08-01-2021,Makar Sankranti,Umbrella,Festival,528,338,209086
08-01-2021,Makar Sankranti,Water Bottle,Festival,687.9230769,2957,2028810
08-01-2021,Pongal,Bracelet,Festival,598.5714286,630,364681
08-01-2021,Pongal,Chocolate Box,Festival,916.1428571,421,408078
08-01-2021,Pongal,Clay Pot,Festival,936,916,799090
08-01-2021,Pongal,Coffee Mug,Festival,947.7142857,1087,1065196
08-01-2021,Pongal,Cookware,Festival,759.6666667,1557,1284610
08-01-2021,Pongal,Decorative Items,Festival,746.9285714,2640,2109426
08-01-2021,Pongal,Flower Decor,Festival,555.7142857,494,276448
08-01-2021,Pongal,Gift Box,Festival,889.7333333,2747,2356882
08-01-2021,Pongal,Handmade Decor,Festival,959.8571429,2536,2534007
08-01-2021,Pongal,Jaggery,Festival,965.2666667,2883,2760483
08-01-2021,Pongal,Keychain,Festival,672,445,263777
08-01-2021,Pongal,Notebook,Festival,536.25,271,157732
08-01-2021,Pongal,Plant,Festival,579.3333333,462,251839
08-01-2021,Pongal,Pongal Sweets,Festival,512.6666667,111,56020
08-01-2021,Pongal,Rice Pack,Festival,985.6,1080,1127970
08-01-2021,Pongal,Sugarcane,Festival,749.625,1471,936994
08-01-2021,Pongal,Tea Set,Festival,994.3636364,2282,2368146
08-01-2021,Pongal,Traditional Dress,Festival,739,310,208935
08-01-2021,Pongal,Tray,Festival,896,573,551411
08-01-2021,Pongal,Wall Hanging,Festival,685.3333333,452,298811
09-01-2021,Makar Sankranti,Backpack,Festival,629.125,678,444187
09-01-2021,Makar Sankranti,Bracelet,Festival,720.6,322,211889
09-01-2021,Makar Sankranti,Candy Pack,Festival,669.4285714,3157,2129704
09-01-2021,Makar Sankranti,Cap,Festival,794.5,280,238642
09-01-2021,Makar Sankranti,Cotton Clothes,Festival,910.5,1261,1118146
09-01-2021,Makar Sankranti,Decorative Flags,Festival,567.875,570,296915
09-01-2021,Makar Sankranti,Gloves,Festival,609.7142857,562,326841
09-01-2021,Makar Sankranti,Hat,Festival,623.7777778,2320,1297893
09-01-2021,Makar Sankranti,Kite,Festival,734.7777778,1806,1362277
09-01-2021,Makar Sankranti,Manja,Festival,1055.25,3372,3615285
09-01-2021,Makar Sankranti,Phone Holder,Festival,920.2,317,256105
09-01-2021,Makar Sankranti,Portable Fan,Festival,1009.166667,1409,1250099
09-01-2021,Makar Sankranti,Smartwatch,Festival,857.1538462,3019,2608040
09-01-2021,Makar Sankranti,Snacks,Festival,856.8,223,190949
09-01-2021,Makar Sankranti,Sunglasses,Festival,785.75,1605,1254091
09-01-2021,Makar Sankranti,Tilgul,Festival,694.6666667,213,137182
09-01-2021,Makar Sankranti,Toys,Festival,686.75,452,312638
09-01-2021,Makar Sankranti,Traditional Sweets,Festival,843.6,1224,953725
09-01-2021,Makar Sankranti,Umbrella,Festival,758.2,391,318014
09-01-2021,Makar Sankranti,Water Bottle,Festival,488.3,2357,1063349
09-01-2021,Pongal,Bracelet,Festival,783.5,462,376426
09-01-2021,Pongal,Chocolate Box,Festival,403,510,234947
09-01-2021,Pongal,Clay Pot,Festival,668.1,2214,1466898
09-01-2021,Pongal,Coffee Mug,Festival,972.6666667,3339,3018207
09-01-2021,Pongal,Cookware,Festival,877.5,1463,1258655
09-01-2021,Pongal,Decorative Items,Festival,619.6428571,3234,2109398
09-01-2021,Pongal,Flower Decor,Festival,433.1428571,498,188884
09-01-2021,Pongal,Gift Box,Festival,891,1095,961504
09-01-2021,Pongal,Handmade Decor,Festival,847.3333333,1505,1444969
09-01-2021,Pongal,Jaggery,Festival,590.2,942,596142
09-01-2021,Pongal,Keychain,Festival,789,497,395858
09-01-2021,Pongal,Notebook,Festival,698.625,553,376414
09-01-2021,Pongal,Plant,Festival,641.5,605,418616
09-01-2021,Pongal,Pongal Sweets,Festival,799.125,452,349724
09-01-2021,Pongal,Rice Pack,Festival,938.625,2057,2033955
09-01-2021,Pongal,Sugarcane,Festival,835,1188,1038129
09-01-2021,Pongal,Tea Set,Festival,931.3,2115,1950714
09-01-2021,Pongal,Traditional Dress,Festival,421.5,500,235729
09-01-2021,Pongal,Tray,Festival,679.75,509,356428
09-01-2021,Pongal,Wall Hanging,Festival,555.1428571,574,317627
10-01-2021,Makar Sankranti,Backpack,Festival,764.6666667,426,365028
10-01-2021,Makar Sankranti,Bracelet,Festival,542.3333333,266,127669
10-01-2021,Makar Sankranti,Candy Pack,Festival,834.75,3254,2765537
10-01-2021,Makar Sankranti,Cap,Festival,589.625,362,190254
10-01-2021,Makar Sankranti,Cotton Clothes,Festival,798.9,2243,1658644
10-01-2021,Makar Sankranti,Decorative Flags,Festival,751.5,394,317335
10-01-2021,Makar Sankranti,Gloves,Festival,470.2857143,585,280963
10-01-2021,Makar Sankranti,Hat,Festival,857.2666667,3605,3046967
10-01-2021,Makar Sankranti,Kite,Festival,780.5714286,1764,1363103
10-01-2021,Makar Sankranti,Manja,Festival,760.1666667,1397,1062909
10-01-2021,Makar Sankranti,Phone Holder,Festival,613.25,220,145628
10-01-2021,Makar Sankranti,Portable Fan,Festival,703.2857143,3333,2602433
10-01-2021,Makar Sankranti,Smartwatch,Festival,917.1666667,1791,1565794
10-01-2021,Makar Sankranti,Snacks,Festival,465.3333333,179,72163
10-01-2021,Makar Sankranti,Sunglasses,Festival,886.3333333,4252,3746132
10-01-2021,Makar Sankranti,Tilgul,Festival,674.4,393,258387
10-01-2021,Makar Sankranti,Toys,Festival,747.5,442,317341
10-01-2021,Makar Sankranti,Traditional Sweets,Festival,543.9090909,3036,1570813
10-01-2021,Makar Sankranti,Umbrella,Festival,743,455,385194
10-01-2021,Makar Sankranti,Water Bottle,Festival,1054.666667,1313,1399051
10-01-2021,Pongal,Bracelet,Festival,857.25,233,202442
10-01-2021,Pongal,Chocolate Box,Festival,720.25,205,175510
10-01-2021,Pongal,Clay Pot,Festival,966.4545455,1857,1885033
10-01-2021,Pongal,Coffee Mug,Festival,1158.125,1861,2218263
10-01-2021,Pongal,Cookware,Festival,748.8888889,1698,1167389
10-01-2021,Pongal,Decorative Items,Festival,793.2307692,2877,2361107
10-01-2021,Pongal,Flower Decor,Festival,741.3333333,467,318138
10-01-2021,Pongal,Gift Box,Festival,649.7692308,2942,2099441
10-01-2021,Pongal,Handmade Decor,Festival,620.1666667,2341,1478702
10-01-2021,Pongal,Jaggery,Festival,826,1573,1311820
10-01-2021,Pongal,Keychain,Festival,692,254,152782
10-01-2021,Pongal,Notebook,Festival,658.6,400,254128
10-01-2021,Pongal,Plant,Festival,633.6666667,304,188578
10-01-2021,Pongal,Pongal Sweets,Festival,783.625,756,580206
10-01-2021,Pongal,Rice Pack,Festival,1050.166667,1149,1208547
10-01-2021,Pongal,Sugarcane,Festival,1044.75,1691,1935293
10-01-2021,Pongal,Tea Set,Festival,946.125,1863,1777099
10-01-2021,Pongal,Traditional Dress,Festival,693.5,582,471409
10-01-2021,Pongal,Tray,Festival,819.75,206,166629
10-01-2021,Pongal,Wall Hanging,Festival,798.3333333,206,155966
11-01-2021,Makar Sankranti,Backpack,Festival,640.3333333,164,115926
11-01-2021,Makar Sankranti,Bracelet,Festival,592.75,523,369373
11-01-2021,Makar Sankranti,Candy Pack,Festival,931.8666667,4128,3760293
11-01-2021,Makar Sankranti,Cap,Festival,676.25,350,205016
11-01-2021,Makar Sankranti,Cotton Clothes,Festival,658.875,1920,1212555
11-01-2021,Makar Sankranti,Decorative Flags,Festival,455,559,245441
11-01-2021,Makar Sankranti,Gloves,Festival,561.8,235,137735
11-01-2021,Makar Sankranti,Hat,Festival,649.9333333,4100,2606651
11-01-2021,Makar Sankranti,Kite,Festival,891,1711,1537496
11-01-2021,Makar Sankranti,Manja,Festival,766,4109,2988776
11-01-2021,Makar Sankranti,Phone Holder,Festival,724.75,265,186214
11-01-2021,Makar Sankranti,Portable Fan,Festival,681.5,2433,1533543
11-01-2021,Makar Sankranti,Smartwatch,Festival,764.3333333,2163,1687381
11-01-2021,Makar Sankranti,Snacks,Festival,718.8333333,417,361315
11-01-2021,Makar Sankranti,Sunglasses,Festival,788.3333333,1453,1089928
11-01-2021,Makar Sankranti,Tilgul,Festival,516.6666667,497,212814
11-01-2021,Makar Sankranti,Toys,Festival,665.6666667,428,251794
11-01-2021,Makar Sankranti,Traditional Sweets,Festival,936.3571429,4025,4009609
11-01-2021,Makar Sankranti,Umbrella,Festival,389.3333333,383,150849
11-01-2021,Makar Sankranti,Water Bottle,Festival,941.6,3983,3808591
11-01-2021,Pongal,Bracelet,Festival,563.5,312,176624
11-01-2021,Pongal,Chocolate Box,Festival,573,251,136717
11-01-2021,Pongal,Clay Pot,Festival,904.7142857,1831,1616269
11-01-2021,Pongal,Coffee Mug,Festival,718.4,3422,2395436
11-01-2021,Pongal,Cookware,Festival,729.2727273,2922,2225903
11-01-2021,Pongal,Decorative Items,Festival,844.1428571,3014,2331480
11-01-2021,Pongal,Flower Decor,Festival,707,433,298356
11-01-2021,Pongal,Gift Box,Festival,980.1428571,2155,2026639
11-01-2021,Pongal,Handmade Decor,Festival,1012.666667,1409,1293341
11-01-2021,Pongal,Jaggery,Festival,874.2142857,4031,3440894
11-01-2021,Pongal,Keychain,Festival,798.8571429,527,387985
11-01-2021,Pongal,Notebook,Festival,670.2857143,503,290080
11-01-2021,Pongal,Plant,Festival,977.3333333,232,225122
11-01-2021,Pongal,Pongal Sweets,Festival,822.6,337,245982
11-01-2021,Pongal,Rice Pack,Festival,827.6666667,1802,1409206
11-01-2021,Pongal,Sugarcane,Festival,795.9,2396,1840084
11-01-2021,Pongal,Tea Set,Festival,826.7333333,3438,2881361
11-01-2021,Pongal,Traditional Dress,Festival,842.6666667,412,365256
11-01-2021,Pongal,Tray,Festival,666.5,302,215016
11-01-2021,Pongal,Wall Hanging,Festival,599.625,495,289566
12-01-2021,Makar Sankranti,Backpack,Festival,478,386,169527
12-01-2021,Makar Sankranti,Bracelet,Festival,342.8333333,354,123964
12-01-2021,Makar Sankranti,Candy Pack,Festival,942.7692308,4233,3933425
12-01-2021,Makar Sankranti,Cap,Festival,449.6666667,452,171790
12-01-2021,Makar Sankranti,Cotton Clothes,Festival,1022,3024,2943288
12-01-2021,Makar Sankranti,Decorative Flags,Festival,419.25,471,210288
12-01-2021,Makar Sankranti,Gloves,Festival,658,512,389657
12-01-2021,Makar Sankranti,Hat,Festival,853.6666667,1538,1452895
12-01-2021,Makar Sankranti,Kite,Festival,841.5,1775,1543803
12-01-2021,Makar Sankranti,Manja,Festival,744.5,2537,1914899
12-01-2021,Makar Sankranti,Phone Holder,Festival,909.4,316,294909
12-01-2021,Makar Sankranti,Portable Fan,Festival,957.6363636,3858,3708167
12-01-2021,Makar Sankranti,Smartwatch,Festival,917.6666667,1674,1563188
12-01-2021,Makar Sankranti,Snacks,Festival,513.25,299,139416
12-01-2021,Makar Sankranti,Sunglasses,Festival,877.1,2840,2399727
12-01-2021,Makar Sankranti,Tilgul,Festival,658.5,165,100054
12-01-2021,Makar Sankranti,Toys,Festival,324.6666667,109,32460
12-01-2021,Makar Sankranti,Traditional Sweets,Festival,451.6666667,2028,927600
12-01-2021,Makar Sankranti,Umbrella,Festival,508.5,426,214326
12-01-2021,Makar Sankranti,Water Bottle,Festival,972.0714286,3256,3152550
12-01-2021,Pongal,Bracelet,Festival,613.8571429,595,353225
12-01-2021,Pongal,Chocolate Box,Festival,548.25,176,103077
12-01-2021,Pongal,Clay Pot,Festival,948.7272727,2722,2708121
12-01-2021,Pongal,Coffee Mug,Festival,923.4285714,1653,1551784
12-01-2021,Pongal,Cookware,Festival,900.7857143,3460,2939805
12-01-2021,Pongal,Decorative Items,Festival,703.6666667,2203,1481019
12-01-2021,Pongal,Flower Decor,Festival,671.8,372,211436
12-01-2021,Pongal,Gift Box,Festival,1126.222222,2190,2315002
12-01-2021,Pongal,Handmade Decor,Festival,827.5,3014,2402195
12-01-2021,Pongal,Jaggery,Festival,876.9,2318,2088946
12-01-2021,Pongal,Keychain,Festival,528,395,226775
12-01-2021,Pongal,Notebook,Festival,614.5,343,216103
12-01-2021,Pongal,Plant,Festival,505.875,656,306312
12-01-2021,Pongal,Pongal Sweets,Festival,884,180,167204
12-01-2021,Pongal,Rice Pack,Festival,992.1333333,3727,3755982
12-01-2021,Pongal,Sugarcane,Festival,773,1783,1340553
12-01-2021,Pongal,Tea Set,Festival,712.3846154,3124,2262779
12-01-2021,Pongal,Traditional Dress,Festival,794.3333333,258,208927
12-01-2021,Pongal,Tray,Festival,747.75,649,447759
12-01-2021,Pongal,Wall Hanging,Festival,511.3333333,115,55277
13-01-2021,Makar Sankranti,Backpack,Festival,831.75,344,288700
13-01-2021,Makar Sankranti,Bracelet,Festival,523.75,255,122783
13-01-2021,Makar Sankranti,Candy Pack,Festival,675.4,1251,777088
13-01-2021,Makar Sankranti,Cap,Festival,690.7142857,516,342031
13-01-2021,Makar Sankranti,Cotton Clothes,Festival,756,4073,3089603
13-01-2021,Makar Sankranti,Decorative Flags,Festival,514,307,190546
13-01-2021,Makar Sankranti,Gloves,Festival,732.5,327,270865
13-01-2021,Makar Sankranti,Hat,Festival,484.2,1827,772487
13-01-2021,Makar Sankranti,Kite,Festival,1034.888889,2233,2406161
13-01-2021,Makar Sankranti,Manja,Festival,823.6666667,4800,4065198
13-01-2021,Makar Sankranti,Phone Holder,Festival,762.3333333,200,152206
13-01-2021,Makar Sankranti,Portable Fan,Festival,885.9090909,3352,3013098
13-01-2021,Makar Sankranti,Smartwatch,Festival,748,3973,2991342
13-01-2021,Makar Sankranti,Snacks,Festival,585.6666667,243,142015
13-01-2021,Makar Sankranti,Sunglasses,Festival,987.2307692,3893,3815394
13-01-2021,Makar Sankranti,Tilgul,Festival,600.125,679,432626
